"Player.name","position","Games","At.bat","Runs","Hits","Double..2B.","third.baseman","home.run","run.batted.in","a.walk","Strikeouts","stolen.base","Caught.stealing","AVG","On.base.Percentage","Slugging.Percentage","On.base.Plus.Slugging","Total_Bases","ISO","BB_K_Ratio","sb.attempts","SBSR","PA","totalRuns","OBP","SLG","AB_per_HR"
"K Landreaux","CF",1264,4101,522,1099,180,45,91,479,299,421,145,60,0.268,0.317,0.4,0.718117421471481,1642,0.132,0.71021377672209,205,70.7317073170732,4400,1001,0.317727272727273,0.400390148744209,45.0659340659341
"M Bordick","SS",1720,5770,676,1500,257,30,91,626,500,800,96,58,0.26,0.323,0.362,0.68119763723157,2090,0.102,0.625,154,62.3376623376623,6270,1302,0.318979266347687,0.362218370883882,63.4065934065934
"L Lacy","RF",1523,4549,650,1303,207,42,91,458,372,657,185,86,0.286,0.339,0.41,0.75079784445637,1867,0.124,0.5662100456621,271,68.2656826568266,4921,1108,0.340377971956919,0.41041987249945,49.989010989011
"F Lopez","SS",1185,4337,600,1145,219,31,90,439,445,913,124,58,0.264,0.333,0.391,0.723550587009332,1696,0.127,0.487404162102957,182,68.1318681318681,4782,1039,0.332496863237139,0.391053723772193,48.1888888888889
"M Lum","LF",1517,3554,404,877,128,20,90,431,366,506,13,29,0.247,0.319,0.37,0.687097464196708,1315,0.123,0.723320158102767,42,30.952380952381,3920,835,0.317091836734694,0.370005627462015,39.4888888888889
"C James","LF",946,3040,343,794,145,24,90,386,193,490,27,17,0.261,0.307,0.413,0.718776047177951,1257,0.152,0.393877551020408,44,61.3636363636364,3233,729,0.305289205072688,0.413486842105263,33.7777777777778
"C May","LF",1165,4120,545,1127,172,23,90,536,512,565,85,53,0.274,0.357,0.392,0.745833123731911,1615,0.118,0.906194690265487,138,61.5942028985507,4632,1081,0.353842832469775,0.391990291262136,45.7777777777778
"W Pipp","1B",1872,6914,974,1941,311,148,90,997,596,551,125,60,0.281,0.341,0.408,0.745395070577962,2818,0.127,1.08166969147005,185,67.5675675675676,7510,1971,0.337816245006658,0.407578825571305,76.8222222222222
"M Grudzielanek","2B",1802,7052,946,2040,391,36,90,640,364,954,133,52,0.289,0.332,0.393,0.717385750850058,2773,0.104,0.381551362683438,185,71.8918918918919,7416,1586,0.324163969795038,0.39322178105502,78.3555555555556
"G Parra","OF",1519,4858,633,1335,269,42,90,532,318,920,97,55,0.275,0.322,0.403,0.722405099254691,1958,0.128,0.345652173913043,152,63.8157894736842,5176,1165,0.31935857805255,0.403046521202141,53.9777777777778
"J Pagliaroni","C",849,2465,269,622,98,7,90,326,330,494,4,7,0.252,0.344,0.407,0.747910460217645,1004,0.155,0.668016194331984,11,36.3636363636364,2795,595,0.340608228980322,0.407302231237323,27.3888888888889
"S Bream","1B",1088,3108,351,819,191,12,90,455,353,450,50,40,0.264,0.336,0.42,0.758192873188539,1304,0.156,0.784444444444444,90,55.5555555555556,3461,806,0.33863045362612,0.41956241956242,34.5333333333333
"A Ashby","C",1370,4123,397,1010,183,13,90,513,461,622,7,10,0.245,0.32,0.361,0.682043575837076,1489,0.116,0.741157556270096,17,41.1764705882353,4584,910,0.320898778359511,0.361144797477565,45.8111111111111
"G Redus","LF",1159,3513,591,886,183,51,90,352,481,688,322,83,0.252,0.342,0.41,0.752454115274819,1441,0.158,0.699127906976744,405,79.5061728395062,3994,943,0.342263395092639,0.41019072018218,39.0333333333333
"D Ward","1B",948,2234,242,588,131,5,90,379,192,422,1,6,0.263,0.32,0.447,0.768696846532012,999,0.184,0.454976303317536,7,14.2857142857143,2426,621,0.321516900247321,0.447179946284691,24.8222222222222
"W Judnich","CF",790,2786,424,782,150,29,90,420,385,298,20,24,0.281,0.369,0.452,0.820284012303713,1260,0.171,1.29194630872483,44,45.4545454545455,3171,844,0.36802270577105,0.452261306532663,30.9555555555556
"K Greene","SS",736,2567,322,628,157,14,90,352,190,556,25,6,0.245,0.302,0.422,0.718592571460626,1083,0.177,0.341726618705036,31,80.6451612903226,2757,674,0.296699310845122,0.421893260615504,28.5222222222222
"B Chapman","CF",1717,6478,1144,1958,407,107,90,977,824,556,287,135,0.302,0.383,0.44,0.82078774258094,2849,0.138,1.48201438848921,422,68.0094786729858,7302,2121,0.380991509175568,0.439796233405372,71.9777777777778
"Y Escobar","SS",1434,5315,689,1501,258,12,90,519,509,686,34,32,0.282,0.35,0.386,0.731388913297427,2053,0.104,0.74198250728863,66,51.5151515151515,5824,1208,0.345123626373626,0.386265286923801,59.0555555555556
"J Leyritz","C",903,2527,325,667,107,2,90,387,337,581,7,7,0.264,0.362,0.415,0.76527967227684,1048,0.151,0.580034423407917,14,50,2864,712,0.350558659217877,0.414721013058963,28.0777777777778
"K Mench","LF",729,2362,311,632,150,14,89,331,183,335,12,6,0.268,0.324,0.456,0.77620527374324,1077,0.188,0.546268656716418,18,66.6666666666667,2545,642,0.320235756385069,0.455969517358171,26.5393258426966
"R Kress","SS",1392,5087,691,1454,298,58,89,799,474,453,47,56,0.286,0.347,0.42,0.766397501315626,2135,0.134,1.04635761589404,103,45.6310679611651,5561,1490,0.346700233770905,0.419697267544722,57.1573033707865
"N Etten","1B",937,3320,426,921,167,25,89,526,480,199,22,13,0.277,0.371,0.423,0.791876981610653,1405,0.146,2.41206030150754,35,62.8571428571429,3800,952,0.368684210526316,0.423192771084337,37.3033707865169
"C Taylor","LF",863,2808,422,716,171,29,89,353,296,905,68,18,0.255,0.331,0.432,0.757654859458983,1212,0.177,0.32707182320442,86,79.0697674418605,3104,775,0.326030927835052,0.431623931623932,31.5505617977528
